first_name,second_name,element_type,year,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
Bernd,Leno,GK,2021-22,10,37,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Bernd,Leno,GK,2021-22,10,38,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Rúnar Alex,Rúnarsson,GK,2021-22,0,1,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,2,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,3,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,4,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,5,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,6,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,7,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Rúnar Alex,Rúnarsson,GK,2021-22,0,8,1.0,0.0,0.0,15.0,0.0,0.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
