first_name,second_name,element_type,year,total_points,gw,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90
Cédric,Alves Soares,DEF,2023-24,3,19,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,20,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,21,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,22,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,23,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,24,True,1,1,0,0,13,0,0.7,0.4,0.0,0,0.1,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,25,True,1,2,0,0,34,0,2.0,1.0,0.0,0,0.3,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,26,True,1,2,0,0,34,0,2.0,1.0,0.0,0,0.3,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,27,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,28,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,30,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,31,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,32,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,33,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,34,True,2,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,35,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,36,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,37,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Cédric,Alves Soares,DEF,2023-24,3,38,True,1,3,0,0,59,0,4.3,2.0,0.0,0,0.6,0,0.0,0.0,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,1,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,2,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,3,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,4,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,5,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,6,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,7,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,8,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,9,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,10,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,11,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,12,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,13,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,14,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,15,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,16,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,17,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,18,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,19,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,20,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,21,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,22,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,23,True,1,4,0,1,1,0,0.5,1.8,2.0,0,0.4,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,24,True,1,5,0,1,24,0,1.8,3.8,10.0,0,1.5,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,25,True,1,5,0,1,24,0,1.8,3.8,10.0,0,1.5,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,26,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,27,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,28,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,30,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,31,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,32,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,33,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,34,True,2,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,35,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,36,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,37,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Mohamed,Elneny,MID,2023-24,6,38,True,1,6,0,1,25,0,2.1,4.0,10.0,0,1.6,0,0.0,0.0,6.0,0.0,0.0,111.0,2.0,5.4,4.6,0.0,0.0,1.1,0.0,0.0,0.0
Fábio,Ferreira Vieira,MID,2023-24,24,1,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,2,True,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,3,True,1,7,0,2,34,1,15.3,23.0,25.0,0,6.3,0,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,4,True,1,11,0,3,47,1,27.5,41.0,29.0,0,9.7,0,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,5,True,1,14,0,3,126,1,39.2,41.2,54.0,0,13.4,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,6,True,1,15,0,3,171,2,40.5,41.2,58.0,0,13.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,7,True,1,16,0,3,185,2,56.5,45.6,58.0,0,15.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,8,True,1,16,0,3,185,2,56.5,45.6,58.0,0,15.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,9,True,1,16,0,3,185,2,56.5,45.6,58.0,0,15.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,10,True,1,22,1,3,202,2,62.1,79.0,77.0,0,21.7,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,11,True,1,23,1,3,213,2,63.3,79.4,77.0,0,21.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,12,True,1,21,1,3,236,2,63.6,79.4,77.0,0,21.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,13,True,1,21,1,3,236,2,63.6,79.4,77.0,0,21.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
Fábio,Ferreira Vieira,MID,2023-24,24,14,True,1,21,1,3,236,2,63.6,79.4,77.0,0,21.9,1,0.0,0.0,40.0,1.0,2.0,500.0,5.0,180.1,115.2,123.0,2.0,41.4,2.0,0.0,7.2
