element_type,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,gw,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90,total_points
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,13,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,14,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,15,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,16,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,17,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,18,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,19,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,20,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,21,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,22,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,23,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,24,1,1,0,0,13,0,0.7,0.4,0.0,0,0.1,0,0.0,0.0,3
1,10.0,0.0,0.0,223.0,3.0,51.4,56.4,10.0,0.0,11.9,0.0,0.0,0.0,True,25,1,2,0,0,34,0,2.0,1.0,0.0,0,0.3,0,0.0,0.0,3
